Year,Artists Name,English Name,Category,Artist ID
2005,천상지희 더 그레이스,,Idol,80008746
2006,브라운아이드걸스,Brown Eyed Girls,Idol,80015705
2007,소녀시대,Girls' Generation,Idol,80026432
2007,원더걸스,Wonder Girls,Idol,80022182
2007,카라,KARA,Idol,80023353
2007,써니힐,,Idol,80027073
2009,투에니원,2NE1,Idol,80054982
2009,티아라,T-ARA,Idol,80028872
2009,시크릿,Secret,Idol,80060294
2009,에프엑스,f(x),Idol,80059218
2009,포미닛,4minute,Idol,80057260
2009,에프터스쿨,After School,Idol,80052719
2009,레인보우,Rainbow,Idol,80061105
2010,나인뮤지스,,Idol,
2010,걸스데이,Girl's Day,Idol,80073726
2010,미쓰에이,miss A,Idol,80073013
2010,씨스타,SISTAR,Idol,80069630
2010,오렌지캬라멜,Orange Caramel,Idol,80071087
2011,에이핑크,Apink,Idol,80097978
2011,달샤벳,,Idol,
2011,파이브돌스,,Idol,
2011,브레이브 걸스,Brave Girls,Idol,80097357
2012,EXID,EXID,Idol,80120879
2012,태티서,TTS,Idol,80125876
2012,AOA,AOA,Idol,80132659
2012,스피카,,Idol,
2012,크레용팝,,Idol,
2012,헬로비너스,,Idol,
2012,피에스타,,Idol,
2013,베스티,,Idol,
2013,레이디스코드,LADIES' CODE,Idol,80148864
2014,마마무,MAMAMOO,Idol,80177857
2014,러블리즈,LOVELYZ,Idol,80209592
2014,레드벨벳,Red Velvet,Idol,80199440
2014,라붐,,Idol,
2015,여자친구,GFRIEND,Idol,80216536
2015,오마이걸,OH MY GIRL,Idol,80226913
2015,트와이스,TWICE,Idol,80249916
2015,다이아,,Idol,
2015,에이프릴,APRIL,Idol,80244185
2015,CLC,,Idol,
2016,BLACKPINK,BLACKPINK,Idol,20022492
2016,모모랜드,MOMOLAND,Idol,80271242
2016,아이오아이,I.O.I,Idol,80259074
2016,우주소녀,WJSN,Idol,80257032
2017,드림캐쳐,Dreamcatcher,Idol,80276288
2017,위키미키,,Idol,
2017,이달의 소녀,LOONA,Idol,80272163
2017,앨리스,,Idol,
2017,프로미스나인,fromis_9,Idol,20047596
2018,소녀주의보,,Idol,
2018,(여자)아이들,(G)I-DLE,Idol,20056456
2018,NATURE (네이처),,Idol,
2018,IZ*ONE,IZ*ONE,Idol,20067467
2019,EVERGLOW,,Idol,
2020,ITZY,ITZY,Idol,80327433
2020,STAYC,STAYC,Idol,80347276
2020,Weeekly,Weekly,Idol,20110282
2020,woo!ah!,,Idol,
2021,aespa,aespa,Idol,80347326
2021,IVE,IVE,Idol,20148657
2022,퍼플키스,,Idol,
2022,FLO,,Idol,
2022,LE SSERAFIM,LE SSERAFIM,Idol,20158908
2022,NMIXX,NMIXX,Idol,80365655
2022,Kep1er,,Idol,
2022,NewJeans,NewJeans,Idol,20164333
2008,아이유,,Solo,80049126
,선미,,Solo,
,현아,,Solo,
,화사,,Solo,
,보아,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
,,,Solo,
연도,걸그룹,,Type,Bugs_Artist ID